entropy,epoch,loss,step
8.0,0,0.630721390247345,0
8.0,1,0.5410690903663635,1
8.0,2,0.473751038312912,2
8.0,3,0.4147835671901703,3
8.0,4,0.367145836353302,4
8.0,5,0.32911163568496704,5
8.0,6,0.2972930669784546,6
180.0,7,0.2717943489551544,7
196.0,8,0.2506415843963623,8
256.0,9,0.23240375518798828,9
312.0,10,0.21633127331733704,10
336.0,11,0.20490339398384094,11
392.0,12,0.1938425451517105,12
408.0,13,0.1834077388048172,13
428.0,14,0.1758890300989151,14
432.0,15,0.16748648881912231,15
452.0,16,0.16083034873008728,16
456.0,17,0.15495845675468445,17
460.0,18,0.14929968118667603,18
456.0,19,0.14535953104496002,19
456.0,20,0.1399204432964325,20
460.0,21,0.1367184817790985,21
460.0,22,0.1317989081144333,22
456.0,23,0.12876111268997192,23
464.0,24,0.12586015462875366,24
456.0,25,0.12245011329650879,25
452.0,26,0.11887188255786896,26
456.0,27,0.11541901528835297,27
456.0,28,0.1126345843076706,28
460.0,29,0.11024246364831924,29
468.0,30,0.10817180573940277,30
456.0,31,0.10576902329921722,31
460.0,32,0.10300519317388535,32
460.0,33,0.10204276442527771,33
460.0,34,0.10007234662771225,34
464.0,35,0.09876476973295212,35
468.0,36,0.09650705009698868,36
464.0,37,0.09457514435052872,37
460.0,38,0.09261049330234528,38
460.0,39,0.09168613702058792,39
464.0,40,0.09009336680173874,40
476.0,41,0.08823312073945999,41
472.0,42,0.08644678443670273,42
476.0,43,0.08609959483146667,43
484.0,44,0.0837622582912445,44
464.0,45,0.0821070671081543,45
468.0,46,0.08086822181940079,46
464.0,47,0.0797506794333458,47
472.0,48,0.0778106227517128,48
472.0,49,0.0765966847538948,49
476.0,50,0.07548239082098007,50
472.0,51,0.07411084324121475,51
476.0,52,0.07283598184585571,52
476.0,53,0.07174230366945267,53
480.0,54,0.07003071159124374,54
484.3402852262297,55,0.0683726817369461,55
484.3402852262297,56,0.06751306354999542,56
480.3374729516327,57,0.06696875393390656,57
480.3374729516327,58,0.06524071842432022,58
484.3402852262297,59,0.06332644820213318,59
488.6848625808185,60,0.062411144375801086,60
488.6848625808185,61,0.061077140271663666,61
488.6848625808185,62,0.05976426228880882,62
493.033709692723,63,0.059518247842788696,63
501.05051798040955,64,0.058006882667541504,64
501.05051798040955,65,0.057011593133211136,65
505.75807778390276,66,0.05614549666643143,66
505.75807778390276,67,0.05561221018433571,67
505.75807778390276,68,0.05420356243848801,68
505.75807778390276,69,0.053739033639431,69
509.7720307821877,70,0.05265354737639427,70
509.7720307821877,71,0.05187671631574631,71
513.7859837804726,72,0.05087801069021225,72
509.7720307821877,73,0.05005119740962982,73
505.75807778390276,74,0.04907220974564552,74
513.7859837804726,75,0.04838225245475769,75
513.7859837804726,76,0.04744938388466835,76
