entropy,epoch,loss,step
8.0,0,0.630721390247345,0
8.0,1,0.6044284701347351,1
8.0,2,0.5797874927520752,2
8.0,3,0.5567014813423157,3
8.0,4,0.5350847840309143,4
8.0,5,0.514850378036499,5
8.0,6,0.4959219694137573,6
8.0,7,0.4782264232635498,7
8.0,8,0.461702436208725,8
8.0,9,0.4462873935699463,9
8.0,10,0.43191906809806824,10
8.0,11,0.4185391962528229,11
8.0,12,0.406093567609787,12
8.0,13,0.39452987909317017,13
8.0,14,0.38379809260368347,14
8.0,15,0.3738497793674469,15
8.0,16,0.3646387457847595,16
8.0,17,0.35611966252326965,17
8.0,18,0.34824860095977783,18
8.0,19,0.34098732471466064,19
8.0,20,0.3342975676059723,20
8.0,21,0.3281404376029968,21
8.0,22,0.322479784488678,22
8.0,23,0.317282110452652,23
8.0,24,0.3125148415565491,24
8.0,25,0.3081469237804413,25
8.0,26,0.3041488230228424,26
180.0,27,0.30049189925193787,27
192.0,28,0.29715099930763245,28
212.0,29,0.2941015362739563,29
212.0,30,0.2913217544555664,30
216.0,31,0.2887914776802063,31
240.0,32,0.2864879071712494,32
248.0,33,0.284391313791275,33
260.0,34,0.28248417377471924,34
272.0,35,0.280750036239624,35
276.0,36,0.27917298674583435,36
276.0,37,0.2777385413646698,37
276.0,38,0.27643534541130066,38
284.0,39,0.2752518355846405,39
288.0,40,0.27417755126953125,40
300.0,41,0.273202508687973,41
308.0,42,0.2723165452480316,42
316.0,43,0.27151140570640564,43
320.0,44,0.27078011631965637,44
332.0,45,0.2701156735420227,45
336.0,46,0.2695111930370331,46
344.0,47,0.2689608037471771,47
344.0,48,0.26845860481262207,48
344.0,49,0.2679997682571411,49
352.0,50,0.26757994294166565,50
352.0,51,0.2671952545642853,51
352.0,52,0.2668420672416687,52
368.0,53,0.2665172815322876,53
364.0,54,0.26621803641319275,54
364.0,55,0.2659416198730469,55
364.0,56,0.2656858265399933,56
364.0,57,0.26544854044914246,57
372.0,58,0.26522767543792725,58
364.0,59,0.2650216519832611,59
364.0,60,0.2648288607597351,60
364.0,61,0.2646479308605194,61
380.0,62,0.2644776999950409,62
380.0,63,0.2643170654773712,63
384.0,64,0.26416510343551636,64
384.0,65,0.2640208303928375,65
364.0,66,0.2638833522796631,66
372.0,67,0.26375165581703186,67
372.0,68,0.26362550258636475,68
372.0,69,0.26350438594818115,69
376.0,70,0.2633877694606781,70
368.0,71,0.263275146484375,71
368.0,72,0.26316624879837036,72
368.0,73,0.2630605697631836,73
368.0,74,0.2629578709602356,74
380.0,75,0.2628578245639801,75
380.0,76,0.2627602517604828,76
380.0,77,0.262664794921875,77
376.0,78,0.2625713050365448,78
376.0,79,0.2624804973602295,79
388.0,80,0.26239243149757385,80
388.0,81,0.2623059153556824,81
388.0,82,0.2622207999229431,82
388.0,83,0.26213696599006653,83
384.0,84,0.26205405592918396,84
384.0,85,0.2619715631008148,85
384.0,86,0.2618900537490845,86
384.0,87,0.26180943846702576,87
384.0,88,0.2617296278476715,88
384.0,89,0.26165062189102173,89
384.0,90,0.26157286763191223,90
384.0,91,0.26149576902389526,91
384.0,92,0.2614193260669708,92
384.0,93,0.26134344935417175,93
384.0,94,0.26126816868782043,94
384.0,95,0.2611926794052124,95
384.0,96,0.2611178159713745,96
384.0,97,0.2610434591770172,97
388.0,98,0.26096951961517334,98
388.0,99,0.26089605689048767,99
388.0,100,0.26082298159599304,0
388.0,101,0.26075026392936707,1
388.0,102,0.2606779932975769,2
388.0,103,0.26060619950294495,3
388.0,104,0.2605357766151428,4
388.0,105,0.26046571135520935,5
388.0,106,0.26039591431617737,6
388.0,107,0.2603265047073364,7
388.0,108,0.260257363319397,8
388.0,109,0.2601885497570038,9
388.0,110,0.2601200044155121,10
388.0,111,0.26005175709724426,11
388.0,112,0.25998377799987793,12
384.0,113,0.25991612672805786,13
384.0,114,0.2598486542701721,14
384.0,115,0.25978147983551025,15
384.0,116,0.25971460342407227,16
384.0,117,0.259647935628891,17
384.0,118,0.2595815360546112,18
384.0,119,0.2595153748989105,19
384.0,120,0.25944945216178894,20
384.0,121,0.25938376784324646,21
384.0,122,0.2593183219432831,22
384.0,123,0.2592531144618988,23
384.0,124,0.25918814539909363,24
384.0,125,0.25912338495254517,25
384.0,126,0.2590588629245758,26
384.0,127,0.25899454951286316,27
384.0,128,0.258930504322052,28
384.0,129,0.2588666081428528,29
384.0,130,0.25880298018455505,30
384.0,131,0.25873956084251404,31
384.0,132,0.2586763799190521,32
384.0,133,0.25861403346061707,33
384.0,134,0.2585518956184387,34
384.0,135,0.2584899961948395,35
384.0,136,0.25842827558517456,36
384.0,137,0.25836676359176636,37
384.0,138,0.25830531120300293,38
384.0,139,0.25824376940727234,39
376.0,140,0.25818201899528503,40
376.0,141,0.25812047719955444,41
380.0,142,0.2580591142177582,42
380.0,143,0.257997989654541,43
380.0,144,0.25793707370758057,44
380.0,145,0.25787705183029175,45
380.0,146,0.25781717896461487,46
380.0,147,0.2577575445175171,47
380.0,148,0.25769805908203125,48
380.0,149,0.25763875246047974,49
380.0,150,0.2575797140598297,50
